Title,Stars,Description,label,Sentiment
"5.0 out of 5 stars
Product review",5.0 out of 5 stars,"Nice product, value for money , very comfortable",CG,Positive
"4.0 out of 5 stars
Good product",4.0 out of 5 stars,Good product,OR,Positive
"5.0 out of 5 stars
Good product",5.0 out of 5 stars,Product is so good I like it..but it's too small for me so I need larger size with same colour,CG,Neutral
"5.0 out of 5 stars
It's Very Nice,",5.0 out of 5 stars,I like products,OR,Positive
"4.0 out of 5 stars
Good",4.0 out of 5 stars,"The media could not be loaded.
                



Nice product",OR,Negative
"5.0 out of 5 stars
Using it for 7 years and ordered again",5.0 out of 5 stars,Using the same model helmet from 2016. It is durable and solid. Shape also good. Recently missed the helmet and ordered it. The quality and finish is same as before. Great product from Vega,CG,Neutral
"3.0 out of 5 stars
Some cratech",3.0 out of 5 stars,Some scratech found back side...overalll its ok,OR,Neutral
"5.0 out of 5 stars
Safety......",5.0 out of 5 stars,Very comfort to wear.......,OR,Neutral
"4.0 out of 5 stars
Good",4.0 out of 5 stars,Good,OR,Positive
"4.0 out of 5 stars
okay",4.0 out of 5 stars,okay,CG,Positive
